"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Тестирование мобильной версии сайта","24","Проверка формы валидации для кредита под залог","0","0","","0"
"1","Тестирование мобильной версии сайта","4","Проверка фильтров для карт","0","0","","0"
"1","Тестирование мобильной версии сайта","7","Проверка формы валидации для премиум клиента","0","0","","0"
"0","Тестирование мобильной версии сайта","2","Проверка вклада для своих","6","0","","0"
"0","Тестирование полной версии сайта","0","Проверка страницы блогов","10","0","","0"
"0","Тестирование мобильной версии сайта","0","Проверка страницы блогов","10","0","","0"
"2","Тестирование полной версии сайта","3","Проверка формы валидации для кредита под залог","20","0","","0"
"0","Тестирование полной версии сайта","8","Проверка формы валидации для премиум клиента","0","0","","0"
"0","Тестирование полной версии сайта","5","Проверка фильтров для карт","0","0","","0"
"0","Тестирование полной версии сайта","0","Проверка партнеров","1","0","","0"
