"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Тестирование мобильной версии сайта","7","Проверка формы валидации для премиум клиента","0","0","","0"
"1","Тестирование полной версии сайта","8","Проверка формы валидации для кредита под залог","16","0","","0"
"0","Тестирование мобильной версии сайта","1","Проверка страницы блогов","9","0","","0"
"5","Тестирование мобильной версии сайта","2","Проверка вклада для своих","1","0","","0"
"0","Тестирование полной версии сайта","4","Проверка страницы блогов","6","0","","0"
"7","Тестирование мобильной версии сайта","18","Проверка формы валидации для кредита под залог","0","0","","0"
"0","Тестирование полной версии сайта","8","Проверка формы валидации для премиум клиента","0","0","","0"
"0","Тестирование мобильной версии сайта","5","Проверка фильтров для карт","0","0","","0"
"0","Тестирование полной версии сайта","5","Проверка фильтров для карт","0","0","","0"
"0","Тестирование полной версии сайта","0","Проверка партнеров","1","0","","0"
