"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Тестирование мобильной версии сайта","8","Проверка формы валидации для премиум клиента","0","0","","0"
"0","Тестирование мобильной версии сайта","1","Проверка вклада для своих","7","0","","0"
"10","Тестирование полной версии сайта","0","Проверка страницы блогов","0","0","","0"
"14","Тестирование полной версии сайта","4","Проверка формы валидации для кредита под залог","7","0","","0"
"1","Тестирование мобильной версии сайта","1","Проверка страницы блогов","8","0","","0"
"8","Тестирование полной версии сайта","0","Проверка формы валидации для премиум клиента","0","0","","0"
"1","Тестирование мобильной версии сайта","24","Проверка формы валидации для кредита под залог","0","0","","0"
"1","Тестирование полной версии сайта","0","Проверка партнеров","0","0","","0"
"0","Тестирование мобильной версии сайта","5","Проверка фильтров для карт","0","0","","0"
"5","Тестирование полной версии сайта","0","Проверка фильтров для карт","0","0","","0"
