"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Тестирование мобильной версии сайта","0","Проверка страницы блогов","10","0","","0"
"0","Тестирование полной версии сайта","22","Проверка формы валидации для кредита под залог","3","0","","0"
"0","Тестирование полной версии сайта","8","Проверка формы валидации для премиум клиента","0","0","","0"
"0","Тестирование мобильной версии сайта","25","Проверка формы валидации для кредита под залог","0","0","","0"
"0","Тестирование мобильной версии сайта","1","Проверка вклада для своих","7","0","","0"
"0","Тестирование мобильной версии сайта","1","Проверка формы валидации для премиум клиента","7","0","","0"
"0","Тестирование мобильной версии сайта","1","Проверка фильтров для карт","4","0","","0"
"0","Тестирование полной версии сайта","10","Проверка страницы блогов","0","0","","0"
"0","Тестирование полной версии сайта","1","Проверка партнеров","0","0","","0"
"0","Тестирование полной версии сайта","5","Проверка фильтров для карт","0","0","","0"
