"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","Тестирование полной версии сайта","0","Проверка страницы блогов","0","0","","0"
"10","Тестирование мобильной версии сайта","0","Проверка страницы блогов","0","0","","0"
"25","Тестирование полной версии сайта","0","Проверка формы валидации для кредита под залог","0","0","","0"
"5","Тестирование мобильной версии сайта","0","Проверка фильтров для карт","0","0","","0"
"25","Тестирование мобильной версии сайта","0","Проверка формы валидации для кредита под залог","0","0","","0"
"8","Тестирование мобильной версии сайта","0","Проверка вклада для своих","0","0","","0"
"8","Тестирование мобильной версии сайта","0","Проверка формы валидации для премиум клиента","0","0","","0"
"8","Тестирование полной версии сайта","0","Проверка формы валидации для премиум клиента","0","0","","0"
"5","Тестирование полной версии сайта","0","Проверка фильтров для карт","0","0","","0"
"1","Тестирование полной версии сайта","0","Проверка партнеров","0","0","","0"
